Href;Water Resistance;Case Width;Name;Features;Price;Movement
https://www.ashford.com/hamilton-h77211615.html;100 m (330 feet);32 mm;Khaki Navy Seaqueen Women's Casual Watch;Date,Date, Three Hand;$519.00;Quartz
https://www.ashford.com/calvin-klein-k5v231z6.html;30 m (100 feet);39 mm;Spellbound Women's Casual Watch;Two Hand;$34.99;Quartz
https://www.ashford.com/jacques-lemans-1-1841zl.html;100 m (330 feet);37 mm;Rome Women's  Watch;-;$84.99;Quartz
https://www.ashford.com/thomas-earnshaw-es-8092-04.html;50 m (165 feet);34 mm;Investigator Women's  Watch;Date;$44.99;Automatic
https://www.ashford.com/thomas-earnshaw-es-8098-04.html;50 m (165 feet);35 mm;Lady Australis Women's  Watch;-;$59.99;Quartz
https://www.ashford.com/jacques-lemans-1-1683a.html;100 m (330 feet);40 mm; Women's  Watch;-;$79.99;Quartz
https://www.ashford.com/jacques-lemans-1-1683b.html;100 m (330 feet);40 mm;Milano Women's  Watch;-;$69.99;Quartz
https://www.ashford.com/rado-r14050126.html;50 m (165 feet);33 mm;Diamaster Women's  Watch;Date;$699.00;Automatic
https://www.ashford.com/calvin-klein-k7b236g6.html;30 m (100 feet);36 mm;Even Women's  Watch;-;$44.99;Quartz
https://www.ashford.com/calvin-klein-k9h2y5c6.html;30 m (100 feet);32 mm;Established Women's  Watch;-;$54.99;Quartz
https://www.ashford.com/tissot-t0352461611100.html;100 m (330 feet);33 mm;T-Classic Women's  Watch;-;$179.00;Quartz
https://www.ashford.com/tissot-t0862081111600.html;50 m (165 feet);33 mm;Luxury Women's  Watch;-;$494.99;Automatic
https://www.ashford.com/tissot-t1012072203100.html;100 m (330 feet);33 mm;T-Classic Women's  Watch;Date;$289.99;Automatic
https://www.ashford.com/tissot-t1012511605100.html;100 m (330 feet);33 mm;T-Classic Women's  Watch;Date;$144.00;Quartz
https://www.ashford.com/timex-tw2r78300.html;30 m (100 feet);38 mm;It's Nice That MK1 Unisex  Watch;Hour, Minute and Second, This model is a perfect addition to any outfit, Timex-TW2R78300_C1;$19.99;Quartz
https://www.ashford.com/triwa-last122121.html;50 m (165 feet);38 mm;Lansen Women's  Watch;Date,Hour, Minute and Second, it withstands splashes of rain, Triwa-LAST122121_C1;$24.99;Quartz
https://www.ashford.com/wenger-01-1121-114.html;100 m (330 feet);34 mm;Edge Roman Women's  Watch;Date,Hours, Minutes, Seconds, Wenger-011121114_C1;$34.99;Quartz
https://www.ashford.com/glam-rock-gr10144r.html;100 m (330 feet);46 mm;Miami Women's  Watch;Chronograph;$169.99;Quartz
https://www.ashford.com/anne-klein-ak-3319gysv.html;30 m (100 feet);36 mm;Fashion Women's  Watch;-;$34.99;Quartz
https://www.ashford.com/anne-klein-ak-3618chgb.html;30 m (100 feet);37.8 mm;Easy to Read Women's  Watch;-;$34.99;Quartz
https://www.ashford.com/anne-klein-ak-3619svsv.html;30 m (100 feet);37.8 mm;Easy to Read Women's  Watch;-;$34.99;Quartz
https://www.ashford.com/anne-klein-ak-3664byrg.html;30 m (100 feet);34.5 mm;Fashion Women's  Watch;-;$34.99;Quartz
https://www.ashford.com/anne-klein-ak-3666gyrg.html;30 m (100 feet);32 mm;Fashion Women's  Watch;-;$34.99;Quartz
https://www.ashford.com/paul-hewitt-ph-sa-g-sm-w-19s.html;50 m (165 feet);36 mm;Sailor Line Women's  Watch;-;$19.99;Quartz
https://www.ashford.com/paul-hewitt-ph-sa-r-st-w-19m.html;50 m (165 feet);39 mm;Sailor Line Women's  Watch;-;$19.99;Quartz
https://www.ashford.com/gv2-by-gevril-12807.html;50 m (165 feet);35 mm;Matera Women's  Watch;-;$325.00;Quartz
https://www.ashford.com/calvin-klein-k2r2mtlx.html;30 m (100 feet);32 mm;Extension Women's  Watch;-;$59.99;Quartz
https://www.ashford.com/calvin-klein-k2r2stcx.html;30 m (100 feet);32 mm;Extension Women's  Watch;-;$59.99;Quartz
https://www.ashford.com/calvin-klein-k2r2stgw.html;30 m (100 feet);32 mm;Extension Women's  Watch;-;$65.99;Quartz
https://www.ashford.com/calvin-klein-k2r2stlx.html;30 m (100 feet);32 mm;Extension Women's  Watch;-;$59.99;Quartz
https://www.ashford.com/calvin-klein-k4n23x41.html;30 m (100 feet);32 mm;Time Women's  Watch;-;$54.99;Quartz
https://www.ashford.com/mulco-mw5-1836-115-sd.html;100 m (330 feet);46 mm;Titans Wave Unisex  Watch;Chronograph;$39.99;Swiss Quartz (Battery-Powered)
https://www.ashford.com/swarovski-5095944.html;30 m (100 feet);37 mm;Aila Day Double Tour Women's  Watch;Date,Swarovski Crystal Bezel;$109.99;Quartz
https://www.ashford.com/edox-10411-37nr120d-nann.html;200 m (660 feet);39 mm;Chronoffshore-1 Women's  Watch;Chronograph;$804.99;Quartz
https://www.ashford.com/edox-57005-37rm-gir.html;30 m (100 feet);33 mm;Delfin Women's  Watch;Date;$169.99;Quartz
https://www.ashford.com/swiza-wat-0121-1002.html;100 m (330 feet);31 mm;Alza Women's  Watch;Date;$24.99;Quartz
https://www.ashford.com/mido-m0162301611180.html;50 m (165 feet);33 mm;Commander II Women's  Watch;Date;$364.99;Automatic
https://www.ashford.com/jacques-lemans-1-1997g.html;50 m (165 feet);-;Milano Women's  Watch;Crystallized With Shiny Swarovski Crystals;$44.99;-
https://www.ashford.com/jacques-lemans-lp-120b.html;50 m (165 feet);-;La Passion Women's  Watch;Flat Case Version;$94.99;Quartz
https://www.ashford.com/jacques-lemans-lp-123n.html;50 m (165 feet);-;La Passion Unisex  Watch;Flat Case Version;$84.99;-
https://www.ashford.com/jacques-lemans-lp-126i.html;50 m (165 feet);-;La Passion Unisex  Watch;Flat Case Version;$94.99;-
https://www.ashford.com/jacques-lemans-lp-127h.html;50 m (165 feet);30 mm;La Passion Unisex  Watch;Flat Case Version;$104.99;-
https://www.ashford.com/timex-twh1y0910za.html;30 m (100 feet);34 mm;Classics Women's  Watch;Date;$14.99;Quartz
https://www.ashford.com/frederique-constant-fc-306nhd3er2b.html;30 m (100 feet);33 mm;Classics Delight Women's  Watch;-;$909.00;-
https://www.ashford.com/frederique-constant-fc220ms3b4.html;50 m (165 feet);36 mm;Classics Women's  Watch;Date,Hour, Minute, Date;$307.99;Quartz
https://www.ashford.com/b-swiss-00-50502-10-16-21.html;30 m (100 feet);29.5 mm;Prestige Women's  Watch;Date;$129.99;Automatic
https://www.ashford.com/b-swiss-00-90014-35-79-31.html;30 m (100 feet);23 mm;Dress Women's  Watch;-;$69.99;Quartz
https://www.ashford.com/u-boat-ub-8473-mt.html;50 m (165 feet);38 mm;Rainbow Women's  Watch;-;$279.00;Quartz
https://www.ashford.com/gv2-by-gevril-12512.html;50 m (165 feet);36 mm;Florence Women's  Watch;Moonphase,day and date subdial with moon phase subdial;$275.00;Quartz
https://www.ashford.com/caravelle-by-bulova-44l190.html;30 m (100 feet);36 mm;New York Women's  Watch;Chronograph;$24.99;Quartz
https://www.ashford.com/caravelle-by-bulova-44l203.html;30 m (100 feet);36 mm;New York Women's  Watch;-;$24.99;Quartz
https://www.ashford.com/rado-r15519702.html;100 m (330 feet);38 mm;D-Star Women's Dress Watch;Date,Date, Three Hand;$749.00;Quartz
https://www.ashford.com/rado-r20789162.html;30 m (100 feet);19 mm;Integral Women's Dress Watch;Two Hand;$709.00;Quartz
https://www.ashford.com/rado-r27085012.html;50 m (165 feet);26.1 mm;True Specchio Women's  Watch;Date,Date, Small Seconds;$479.00;Quartz
https://www.ashford.com/rado-r14043717.html;50 m (165 feet);33 mm;Diamaster Women's Casual Watch;Date,Date, Three Hand;$1,049.00;Automatic
https://www.ashford.com/rado-r14063737.html;50 m (165 feet);33 mm;Diamaster Women's Casual Watch;Date,Date, Three Hand;$999.00;Quartz
https://www.ashford.com/rado-r14065907.html;50 m (165 feet);33 mm;Diamaster Women's  Watch;Date;$1,049.00;Quartz
https://www.ashford.com/jacques-lemans-1-1649e.html;50 m (165 feet);27 mm; Women's  Watch;-;$119.99;Quartz
https://www.ashford.com/jacques-lemans-1-1951b.html;50 m (165 feet);40 mm;London Unisex  Watch;Multi-Functional-Watch with sweep second;$44.99;Quartz
https://www.ashford.com/jacques-lemans-1-2024h.html;50 m (165 feet);34 mm;Milano Women's  Watch;-;$54.99;Quartz
https://www.ashford.com/rado-r22875752.html;50 m (165 feet);31 mm;Coupole Classic Women's Dress Watch;-;$1,199.00;Automatic
https://www.ashford.com/rado-r14044925.html;50 m (165 feet);33 mm;Diamaster Women's Casual Watch;Date,Date, Three Hand;$709.00;Automatic
https://www.ashford.com/jacques-lemans-1-1850ze.html;50 m (165 feet);38 mm;London Unisex  Watch;Date;$44.99;Quartz
https://www.ashford.com/jivago-jv1832.html;30 m (100 feet);30 mm;Good Luck Women's  Watch;-;$82.99;Quartz
https://www.ashford.com/jivago-jv1833.html;30 m (100 feet);30 mm;Good Luck Women's  Watch;-;$82.99;Quartz
